request_id|subject|target_node|ingress_node|processed_by|routed_from|routed_to|prefix_match_input_tokens|expected_cache_hit_tokens|expected_cache_hit_ratio|sglang_prompt_tokens|sglang_cache_hit_tokens|sglang_cache_hit_ratio|local_snapshot_match_after_process|total_time_s|generated_text|error
0|professional_law|0|0|0|||1359|0|0.0|1359|0|0.0|1359|0.0283| B|
1|professional_psychology|1|1|1|||460|0|0.0|460|0|0.0|460|0.0107| C|
2|miscellaneous|2|2|2|||292|0|0.0|292|0|0.0|292|0.0103| B|
3|human_aging|3|3|3|||351|1|0.0028|351|1|0.0028|351|0.0137| D|
4|anatomy|0|0|0|||388|0|0.0|388|0|0.0|388|0.0128| B|
5|high_school_biology|1|1|1|||395|0|0.0|395|0|0.0|395|0.0112| B|
6|professional_law|0|0|0|||1409|1179|0.8368|1409|1179|0.8368|1409|0.0155| A|
7|high_school_chemistry|2|2|2|||449|0|0.0|449|0|0.0|449|0.0106| A|
8|professional_accounting|3|3|3|||561|0|0.0|561|0|0.0|561|0.0141| C|
9|human_aging|1|1|1|||307|1|0.0033|307|1|0.0033|307|0.0101| C|
10|public_relations|0|0|0|||399|0|0.0|399|0|0.0|399|0.0119| C|
11|sociology|1|1|1|||403|0|0.0|403|0|0.0|403|0.0107| B|
12|miscellaneous|2|2|2|||294|261|0.8878|294|261|0.8878|294|0.0096| A|
13|high_school_chemistry|3|3|3|||458|0|0.0|458|0|0.0|458|0.0112| B|
14|moral_scenarios|2|2|2|||625|0|0.0|625|0|0.0|625|0.011| C|
15|professional_law|0|0|0|||1341|1178|0.8784|1341|1178|0.8784|1341|0.0131| D|
16|prehistory|3|3|3|||429|0|0.0|429|0|0.0|429|0.0113| D|
17|professional_psychology|1|1|1|||393|352|0.8957|393|352|0.8957|393|0.0112| D|
18|college_chemistry|0|0|0|||430|1|0.0023|430|1|0.0023|430|0.0113| B|
19|professional_psychology|2|2|2|||406|0|0.0|406|0|0.0|406|0.0115| A|
20|high_school_chemistry|3|3|3|||436|379|0.8693|436|379|0.8693|436|0.0109| C|
21|electrical_engineering|1|1|1|||385|1|0.0026|385|1|0.0026|385|0.0114| C|
22|high_school_biology|0|0|0|||478|0|0.0|478|0|0.0|478|0.0128| B|
23|management|2|2|2|||278|0|0.0|278|0|0.0|278|0.0111| D|
24|professional_psychology|1|1|1|||428|352|0.8224|428|352|0.8224|428|0.012| D|
25|jurisprudence|3|3|3|||535|0|0.0|535|0|0.0|535|0.0274| C|
26|moral_disputes|0|0|0|||404|0|0.0|404|0|0.0|404|0.0122| B|
27|elementary_mathematics|1|1|1|||395|0|0.0|395|0|0.0|395|0.0105| B|
28|high_school_world_history|2|2|2|||1656|0|0.0|1656|0|0.0|1656|0.0186| C|
29|philosophy|3|3|3|||288|0|0.0|288|0|0.0|288|0.0114| D|
30|elementary_mathematics|2|2|2|||360|3|0.0083|360|3|0.0083|360|0.0115| B|
31|international_law|0|0|0|||537|1|0.0019|537|1|0.0019|537|0.0121| C|
32|professional_psychology|3|3|3|||429|1|0.0023|429|1|0.0023|429|0.0122| B|
33|logical_fallacies|1|1|1|||502|0|0.0|502|0|0.0|502|0.0248| C|
34|high_school_european_history|2|2|2|||1637|8|0.0049|1637|8|0.0049|1637|0.0202| C|
35|miscellaneous|0|0|2|0|2|291|261|0.8969|291|261|0.8969|291|0.0114| D|
36|high_school_microeconomics|3|3|3|||456|0|0.0|456|0|0.0|456|0.0102| C|
37|professional_law|1|1|0|1|0|1336|1177|0.881|1336|1177|0.881|1336|0.0138| D|
38|high_school_psychology|0|0|0|||331|0|0.0|331|0|0.0|331|0.0151| C|
39|high_school_geography|1|1|1|||284|1|0.0035|284|1|0.0035|284|0.012| C|
40|moral_scenarios|2|2|2|||623|560|0.8989|623|560|0.8989|623|0.0113| A|
41|high_school_world_history|3|3|3|||1827|0|0.0|1827|0|0.0|1827|0.0218| D|
42|moral_scenarios|0|0|0|||631|0|0.0|631|0|0.0|631|0.023| A|
43|us_foreign_policy|2|2|2|||369|3|0.0081|369|3|0.0081|369|0.0106| C|
44|high_school_us_history|3|3|3|||1775|8|0.0045|1775|8|0.0045|1775|0.0139| B|
45|professional_psychology|1|1|1|||468|352|0.7521|468|352|0.7521|468|0.0116| B|
46|professional_psychology|2|2|2|||411|352|0.8564|411|352|0.8564|411|0.0112| B|
47|college_physics|0|0|0|||512|1|0.002|512|1|0.002|512|0.0126| B|
48|international_law|3|3|0|3|0|515|440|0.8544|515|440|0.8544|515|0.0114| B|
49|astronomy|1|1|1|||386|2|0.0052|386|2|0.0052|386|0.0114| B|
50|global_facts|2|2|2|||325|0|0.0|325|0|0.0|325|0.0115| C|
51|miscellaneous|0|0|2|0|2|307|264|0.8599|307|264|0.8599|307|0.0146| B|
52|moral_scenarios|1|1|2|1|2|611|560|0.9165|611|560|0.9165|611|0.0121| C|
53|formal_logic|3|3|3|||709|0|0.0|709|0|0.0|709|0.0127| A|
54|high_school_macroeconomics|0|0|0|||461|0|0.0|461|0|0.0|461|0.0117| C|
55|logical_fallacies|2|2|1|2|1|577|416|0.721|577|416|0.721|577|0.0139| D|
56|moral_scenarios|3|3|2|3|2|619|561|0.9063|619|561|0.9063|619|0.0174| C|
57|high_school_psychology|0|0|0|||387|289|0.7468|387|289|0.7468|387|0.0093| B|
58|elementary_mathematics|1|1|2|1|2|359|322|0.8969|359|322|0.8969|359|0.011| B|
59|human_sexuality|1|1|1|||382|4|0.0105|382|4|0.0105|382|0.0118| B|
60|miscellaneous|2|2|2|||301|262|0.8704|301|262|0.8704|301|0.0096| C|
61|nutrition|2|2|2|||378|1|0.0026|378|1|0.0026|378|0.0108| B|
62|philosophy|3|3|3|||284|246|0.8662|284|246|0.8662|284|0.0117| A|
63|high_school_psychology|0|0|0|||359|289|0.805|359|289|0.805|359|0.0106| B|
64|world_religions|3|3|3|||254|0|0.0|254|0|0.0|254|0.012| C|
65|miscellaneous|1|1|2|1|2|362|261|0.721|362|261|0.721|362|0.0146| C|
66|virology|0|0|0|||309|0|0.0|309|0|0.0|309|0.0122| B|
67|professional_law|2|2|0|2|0|1408|1177|0.8359|1408|1177|0.8359|1408|0.0179| D|
68|high_school_chemistry|3|3|3|||419|379|0.9045|419|379|0.9045|419|0.0118| C|
69|moral_scenarios|0|0|0|||617|561|0.9092|617|561|0.9092|617|0.0113| A|
70|professional_law|1|1|0|1|0|1336|1178|0.8817|1336|1178|0.8817|1336|0.0135| C|
71|high_school_psychology|2|2|0|2|0|348|289|0.8305|348|289|0.8305|348|0.0096| B|
72|high_school_geography|3|3|1|3|1|293|247|0.843|293|247|0.843|293|0.0112| D|
73|world_religions|0|0|3|0|3|250|206|0.824|250|206|0.824|250|0.0136| B|
74|miscellaneous|1|1|2|1|2|293|266|0.9078|293|266|0.9078|293|0.0124| C|
75|prehistory|2|2|3|2|3|419|343|0.8186|419|343|0.8186|419|0.0102| A|
76|us_foreign_policy|3|3|2|3|2|345|293|0.8493|345|293|0.8493|345|0.0124| D|
77|world_religions|0|0|3|0|3|261|206|0.7893|261|206|0.7893|261|0.0102| D|
78|high_school_psychology|1|1|0|1|0|366|290|0.7923|366|290|0.7923|366|0.0119| C|
79|high_school_macroeconomics|2|2|0|2|0|414|369|0.8913|414|369|0.8913|414|0.0127| B|
80|high_school_microeconomics|3|3|3|||521|386|0.7409|521|386|0.7409|521|0.0121| D|
81|miscellaneous|0|0|2|0|2|335|261|0.7791|335|261|0.7791|335|0.0103| D|
82|econometrics|1|1|1|||674|1|0.0015|674|1|0.0015|674|0.0113| D|
83|professional_law|1|1|0|1|0|1607|1178|0.733|1607|1178|0.733|1607|0.0122| D|
84|professional_law|2|2|0|2|0|1387|1178|0.8493|1387|1178|0.8493|1387|0.0157| B|
85|astronomy|3|3|1|3|1|382|338|0.8848|382|338|0.8848|382|0.01| D|
86|global_facts|0|0|2|0|2|339|275|0.8112|339|275|0.8112|339|0.0121| B|
87|computer_security|2|2|2|||518|4|0.0077|518|4|0.0077|518|0.0111| A|
88|professional_law|1|1|0|1|0|1405|1179|0.8391|1405|1179|0.8391|1405|0.0119| B|
89|high_school_biology|2|2|0|2|0|401|329|0.8204|401|329|0.8204|401|0.0122| A|
90|high_school_statistics|3|3|3|||697|1|0.0014|697|1|0.0014|697|0.0147| C|
91|professional_law|3|3|0|3|0|1448|1178|0.8135|1448|1178|0.8135|1448|0.0164| C|
92|high_school_psychology|0|0|0|||323|289|0.8947|323|289|0.8947|323|0.0101| A|
93|machine_learning|0|0|0|||392|0|0.0|392|0|0.0|392|0.011| B|
94|college_mathematics|1|1|1|||479|0|0.0|479|0|0.0|479|0.0129| C|
95|professional_law|1|1|0|1|0|1407|1177|0.8365|1407|1177|0.8365|1407|0.0121| A|
96|formal_logic|2|2|3|2|3|759|634|0.8353|759|634|0.8353|759|0.0136| C|
97|sociology|3|3|1|3|1|424|329|0.7759|424|329|0.7759|424|0.0123| C|
98|professional_medicine|2|2|0|2|0|1287|1|0.0008|1287|1|0.0008|1287|0.0218| C|
99|human_sexuality|0|0|1|0|1|380|337|0.8868|380|337|0.8868|380|0.013| D|
100|miscellaneous|1|1|2|1|2|291|261|0.8969|291|261|0.8969|291|0.0114| C|
101|world_religions|2|2|3|2|3|243|207|0.8519|243|207|0.8519|243|0.0099| A|
102|security_studies|3|3|3|||1083|2|0.0018|1083|2|0.0018|1083|0.0158| A|
103|high_school_psychology|3|3|0|3|0|328|290|0.8841|328|290|0.8841|328|0.0124| C|
104|high_school_biology|0|0|1|0|1|367|333|0.9074|367|333|0.9074|367|0.0127| D|
105|professional_accounting|1|1|3|1|3|598|465|0.7776|598|465|0.7776|598|0.0281| D|
106|high_school_physics|0|0|0|||615|1|0.0016|615|1|0.0016|615|0.0113| C|
107|high_school_macroeconomics|2|2|0|2|0|418|368|0.8804|418|368|0.8804|418|0.0118| C|
108|miscellaneous|3|3|2|3|2|330|262|0.7939|330|262|0.7939|330|0.0119| B|
109|computer_security|0|0|2|0|2|501|453|0.9042|501|453|0.9042|501|0.0111| D|
110|high_school_microeconomics|1|1|3|1|3|468|386|0.8248|468|386|0.8248|468|0.0108| B|
111|high_school_mathematics|1|1|1|||578|0|0.0|578|0|0.0|578|0.0132| B|
112|high_school_chemistry|2|2|3|2|3|412|387|0.9393|412|387|0.9393|412|0.0111| D|
113|conceptual_physics|2|2|0|2|0|281|2|0.0071|281|2|0.0071|281|0.0118| B|
114|human_aging|3|3|3|||293|261|0.8908|293|261|0.8908|293|0.0112| A|
115|clinical_knowledge|3|3|1|3|1|290|1|0.0034|290|1|0.0034|290|0.0493| B|
116|moral_disputes|0|0|0|||365|318|0.8712|365|318|0.8712|365|0.0102| C|
117|moral_disputes|1|1|0|1|0|393|318|0.8092|393|318|0.8092|393|0.0099| A|
118|prehistory|2|2|3|2|3|383|343|0.8956|383|343|0.8956|383|0.0112| C|
