request_id|subject|target_node|ingress_node|processed_by|routed_from|routed_to|prefix_match_input_tokens|expected_cache_hit_tokens|expected_cache_hit_ratio|local_snapshot_match_after_process|total_time_s|generated_text|error
0|professional_law|0|0|0|||1388|0|0.0|1388|0.2104|To|
1|professional_law|0|0|0|||1438|1203|0.8366|1438|0.0183|To|
2|professional_law|0|0|0|||1370|1202|0.8774|1370|0.0341|To|
3|professional_law|0|0|0|||1365|1201|0.8799|1365|0.0173|To|
4|professional_law|0|0|0|||1437|1201|0.8358|1437|0.0134|To|
5|professional_law|0|0|0|||1365|1202|0.8806|1365|0.0136|The|
6|professional_law|0|0|0|||1636|1202|0.7347|1636|0.0119|The|
7|professional_law|0|0|0|||1416|1202|0.8489|1416|0.0261|The|
8|professional_law|0|0|0|||1434|1203|0.8389|1434|0.0116|To|
9|professional_law|0|0|0|||1477|1202|0.8138|1477|0.0114|To|
10|professional_law|0|0|0|||1436|1201|0.8364|1436|0.0118|To|
11|professional_law|0|0|0|||1469|1202|0.8182|1469|0.0117|To|
12|professional_law|0|0|0|||1408|1205|0.8558|1408|0.0138|To|
13|professional_law|0|0|0|||1429|1202|0.8411|1429|0.0119|To|
14|professional_law|0|0|0|||1377|1202|0.8729|1377|0.012|To|
15|professional_law|0|0|0|||1428|1202|0.8417|1428|0.0118|To|
16|professional_law|0|0|0|||1394|1203|0.863|1394|0.0126|The|
17|professional_law|0|0|0|||1533|1202|0.7841|1533|0.0124|To|
18|professional_law|0|0|0|||1505|1203|0.7993|1505|0.0129|To|
19|professional_law|0|0|0|||1562|1202|0.7695|1562|0.0289|To|
20|professional_law|0|0|0|||1426|1202|0.8429|1426|0.0122|To|
21|professional_law|0|0|0|||1349|1201|0.8903|1349|0.0134|The|
22|professional_law|0|0|0|||1446|1201|0.8306|1446|0.0357|To|
23|professional_law|0|0|0|||1417|1202|0.8483|1417|0.0124|To|
24|professional_law|0|0|0|||1515|1202|0.7934|1515|0.0138|To|
25|professional_law|0|0|0|||1352|1202|0.8891|1352|0.0351|To|
26|professional_law|0|0|0|||1449|1201|0.8288|1449|0.0126|To|
27|professional_law|0|0|0|||1658|1203|0.7256|1658|0.0156|To|
28|professional_law|0|0|0|||1396|1202|0.861|1396|0.0366|The|
29|professional_law|0|0|0|||1496|1201|0.8028|1496|0.0129|The|
30|professional_law|0|0|0|||1454|1202|0.8267|1454|0.0137|The|
31|professional_law|0|0|0|||1373|1202|0.8755|1373|0.0415|To|
32|professional_law|0|0|0|||1527|1202|0.7872|1527|0.0131|To|
33|professional_law|0|0|0|||1423|1202|0.8447|1423|0.0166|To|
34|professional_law|0|0|0|||1636|1203|0.7353|1636|0.0947|To|
35|professional_law|0|0|0|||1398|1202|0.8598|1398|0.0152|To|
36|professional_law|0|0|0|||1423|1204|0.8461|1423|0.0141|To|
37|professional_law|0|0|0|||1537|1203|0.7827|1537|0.0157|To|
38|professional_law|0|0|0|||1503|1203|0.8004|1503|0.0164|To|
39|professional_law|0|0|0|||1349|1201|0.8903|1349|0.016|To|
40|professional_law|0|0|0|||1427|1203|0.843|1427|0.017|To|
41|professional_law|0|0|0|||1445|1201|0.8311|1445|0.0533|The|
42|professional_law|0|0|0|||1446|1202|0.8313|1446|0.0979|To|
43|professional_law|0|0|0|||1466|1203|0.8206|1466|0.1023|To|
44|professional_law|0|0|0|||1452|1202|0.8278|1452|0.1162|To|
45|professional_law|0|0|0|||1365|1202|0.8806|1365|0.1175|To|
46|professional_law|0|0|0|||1531|1202|0.7851|1531|0.0979|To|
47|professional_law|0|0|0|||1294|1201|0.9281|1294|0.1227|To|
48|professional_law|0|0|0|||1375|1201|0.8735|1375|0.0598|The|
49|professional_law|0|0|0|||1535|1202|0.7831|1535|0.1144|To|
50|professional_law|0|0|0|||1469|1201|0.8176|1469|0.066|To|
51|professional_law|0|0|0|||1388|1201|0.8653|1388|0.0705|To|
52|professional_law|0|0|0|||1457|1205|0.827|1457|0.0673|To|
53|professional_law|0|0|0|||1381|1202|0.8704|1381|0.0695|To|
54|professional_law|0|0|0|||1404|1202|0.8561|1404|0.071|To|
55|professional_law|0|0|0|||1336|1202|0.8997|1336|0.1569|The|
56|professional_law|0|0|0|||1482|1203|0.8117|1482|0.0174|To|
57|professional_law|0|0|0|||1481|1202|0.8116|1481|0.0177|To|
58|professional_law|0|0|0|||1557|1202|0.772|1557|0.0174|To|
59|professional_law|0|0|0|||1475|1202|0.8149|1475|0.1592|To|
60|professional_law|0|0|0|||1364|1203|0.882|1364|0.0172|To|
61|professional_law|0|0|0|||1727|1201|0.6954|1727|0.022|To|
62|professional_law|0|0|0|||1487|1202|0.8083|1487|0.1691|To|
63|professional_law|0|0|0|||1450|1201|0.8283|1450|0.0174|To|
64|professional_law|0|0|0|||1562|1202|0.7695|1562|0.0178|To|
65|professional_law|0|0|0|||1479|1204|0.8141|1479|0.0186|The|
66|professional_law|0|0|0|||1594|1203|0.7547|1594|0.0192|To|
67|professional_law|0|0|0|||1419|1203|0.8478|1419|0.0188|To|
68|professional_law|0|0|0|||1459|1203|0.8245|1459|0.2022|To|
69|professional_law|0|0|0|||1431|1202|0.84|1431|0.1959|The|
70|professional_law|0|0|0|||1483|1201|0.8098|1483|0.0189|To|
71|professional_law|0|0|0|||1389|1202|0.8654|1389|0.2031|To|
72|professional_law|0|0|0|||1541|1202|0.78|1541|0.2056|To|
73|professional_law|0|0|0|||1520|1202|0.7908|1520|0.2149|To|
74|professional_law|0|0|0|||1644|1202|0.7311|1644|0.0211|To|
75|professional_law|0|0|0|||1465|1204|0.8218|1465|0.2168|To|
76|professional_law|0|0|0|||1570|1206|0.7682|1570|0.2343|To|
77|professional_law|0|0|0|||1383|1202|0.8691|1383|0.2338|To|
78|professional_law|0|0|0|||1510|1203|0.7967|1510|0.0185|To|
79|professional_law|0|0|0|||1414|1203|0.8508|1414|0.0163|To|
80|professional_law|0|0|0|||1384|1203|0.8692|1384|0.2524|To|
81|professional_law|0|0|0|||1484|1202|0.81|1484|0.2528|To|
82|professional_law|0|0|0|||1422|1202|0.8453|1422|0.0195|To|
83|professional_law|0|0|0|||1245|1205|0.9679|1245|0.2717|The|
84|professional_law|0|0|0|||1523|1202|0.7892|1523|0.0215|To|
85|professional_law|0|0|0|||1479|1202|0.8127|1479|0.273|To|
86|professional_law|0|0|0|||1547|1202|0.777|1547|0.0205|To|
87|professional_law|0|0|0|||1463|1202|0.8216|1463|0.2798|To|
88|professional_law|0|0|0|||1449|1202|0.8295|1449|0.0166|To|
89|professional_law|0|0|0|||1446|1202|0.8313|1446|0.1071|To|
90|professional_law|0|0|0|||1390|1203|0.8655|1390|0.0167|To|
91|professional_law|0|0|0|||1369|1201|0.8773|1369|0.0175|To|
92|professional_law|0|0|0|||1475|1203|0.8156|1475|0.016|To|
93|professional_law|0|0|0|||1600|1203|0.7519|1600|0.1209|To|
94|professional_law|0|0|0|||1657|1202|0.7254|1657|0.019|To|
95|professional_law|0|0|0|||1354|1204|0.8892|1354|0.0179|To|
96|professional_law|0|0|0|||1476|1201|0.8137|1476|0.2814|To|
97|professional_law|0|0|0|||1461|1202|0.8227|1461|0.0167|To|
98|professional_law|0|0|0|||1396|1202|0.861|1396|0.0199|To|
99|professional_law|0|0|0|||1476|1202|0.8144|1476|0.1105|To|
100|professional_law|1|1|0|1|0|1457|1203|0.8257|1457|0.2333|To|
101|professional_law|1|1|0|1|0|1406|1202|0.8549|1406|0.2381|To|
102|professional_law|1|1|0|1|0|1372|1202|0.8761|1372|0.0134|The|
103|professional_law|1|1|0|1|0|1511|1201|0.7948|1511|0.0139|To|
104|professional_law|1|1|0|1|0|1451|1204|0.8298|1451|0.0467|To|
105|professional_law|1|1|0|1|0|1404|1203|0.8568|1404|0.037|To|
106|professional_law|1|1|0|1|0|1583|1203|0.7599|1583|0.0379|To|
107|professional_law|1|1|0|1|0|1487|1202|0.8083|1487|0.0155|To|
108|professional_law|1|1|0|1|0|1336|1201|0.899|1336|0.0139|To|
109|professional_law|1|1|0|1|0|1351|1202|0.8897|1351|0.0138|To|
110|professional_law|1|1|0|1|0|1620|1202|0.742|1620|0.0148|To|
111|professional_law|1|1|0|1|0|1522|1204|0.7911|1522|0.0147|To|
112|professional_law|1|1|0|1|0|1375|1203|0.8749|1375|0.0156|To|
113|professional_law|1|1|0|1|0|1324|1204|0.9094|1324|0.0141|To|
114|professional_law|1|1|0|1|0|1510|1202|0.796|1510|0.014|To|
115|professional_law|1|1|0|1|0|1377|1202|0.8729|1377|0.04|To|
