request_id|subject|target_node|ingress_node|processed_by|routed_from|routed_to|prefix_match_input_tokens|expected_cache_hit_tokens|expected_cache_hit_ratio|sglang_prompt_tokens|sglang_cache_hit_tokens|sglang_uncached_prefill_tokens|sglang_cache_hit_ratio|inference_time_s|actual_sglang_inference_time_s|communication_time_s|routing_processing_time_s|local_processing_time_s|other_processing_time_s|local_snapshot_match_after_process|total_time_s|generated_text|error
0|professional_law|0|0|0|||1359|0|0.0|1359|0|1359|0.0|0.6847|0.0333|0.0|0.03|0.0068|0.0368|1359|0.7215| B|
1|professional_psychology|1|1|1|||460|0|0.0|460|0|460|0.0|0.24|0.0184|0.0|0.0097|0.0046|0.0143|460|0.2543| C|
2|miscellaneous|2|2|2|||292|0|0.0|292|0|292|0.0|0.182|0.0219|0.0|0.0064|0.0053|0.0117|292|0.1937| B|
3|human_aging|3|3|3|||351|1|0.0028|351|1|350|0.0028|0.2011|0.0142|0.0|0.0084|0.0052|0.0136|351|0.2147| D|
4|anatomy|0|0|0|||388|0|0.0|388|0|388|0.0|0.2142|0.0144|0.0|0.0127|0.0097|0.0224|388|0.2366| B|
5|high_school_biology|1|1|1|||395|0|0.0|395|0|395|0.0|0.2166|0.0145|0.0|0.0076|0.0059|0.0135|395|0.2301| B|
6|professional_law|0|0|0|||1409|1179|0.8368|1409|1179|230|0.8368|0.1626|0.0164|0.0|0.0166|0.0087|0.0253|1409|0.1879| A|
7|high_school_chemistry|2|2|2|||449|0|0.0|449|0|449|0.0|0.236|0.0113|0.0|0.0048|0.003|0.0078|449|0.2438| A|
8|professional_accounting|3|3|3|||561|0|0.0|561|0|561|0.0|0.2787|0.0153|0.0|0.0084|0.0077|0.0161|561|0.2948| C|
9|human_aging|1|1|1|||307|1|0.0033|307|1|306|0.0033|0.1865|0.0145|0.0|0.01|0.0091|0.0191|307|0.2056| C|
10|public_relations|0|0|0|||399|0|0.0|399|0|399|0.0|0.218|0.0145|0.0|0.0216|0.0194|0.041|399|0.259| C|
11|sociology|1|1|1|||403|0|0.0|403|0|403|0.0|0.2195|0.0138|0.0|0.0153|0.0109|0.0262|403|0.2457| B|
12|miscellaneous|2|2|2|||294|261|0.8878|294|261|33|0.8878|0.1081|0.011|0.0|0.0063|0.0041|0.0104|294|0.1185| A|
13|high_school_chemistry|3|3|3|||458|0|0.0|458|0|458|0.0|0.2393|0.0129|0.0|0.0136|0.0062|0.0198|458|0.2591| B|
14|moral_scenarios|2|2|2|||625|0|0.0|625|0|625|0.0|0.3047|0.0123|0.0|0.0089|0.0115|0.0204|625|0.3251| C|
15|professional_law|0|0|0|||1341|1178|0.8784|1341|1178|163|0.8784|0.1428|0.013|0.0|0.0242|0.0123|0.0365|1341|0.1793| D|
16|prehistory|3|3|3|||429|0|0.0|429|0|429|0.0|0.2287|0.0097|0.0|0.0073|0.0099|0.0172|429|0.2459| D|
17|professional_psychology|1|1|1|||393|352|0.8957|393|352|41|0.8957|0.1101|0.0113|0.0|0.0112|0.0107|0.0219|393|0.132| D|
18|college_chemistry|0|0|0|||430|1|0.0023|430|1|429|0.0023|0.2287|0.0131|0.0|0.0234|0.0234|0.0468|430|0.2755| B|
19|professional_psychology|2|2|2|||406|0|0.0|406|0|406|0.0|0.2205|0.0128|0.0|0.0117|0.0129|0.0246|406|0.2451| A|
20|high_school_chemistry|3|3|3|||436|379|0.8693|436|379|57|0.8693|0.1141|0.0125|0.0|0.0148|0.0143|0.0291|436|0.1432| C|
21|electrical_engineering|1|1|1|||385|1|0.0026|385|1|384|0.0026|0.2128|0.0122|0.0|0.0167|0.0148|0.0315|385|0.2443| C|
22|high_school_biology|0|0|0|||478|0|0.0|478|0|478|0.0|0.2467|0.0144|0.0|0.0319|0.0298|0.0617|478|0.3084| B|
23|management|2|2|2|||278|0|0.0|278|0|278|0.0|0.1775|0.0127|0.0|0.0168|0.0148|0.0316|278|0.2091| D|
24|professional_psychology|1|1|1|||428|352|0.8224|428|352|76|0.8224|0.119|0.0129|0.0|0.0187|0.0166|0.0353|428|0.1543| D|
25|jurisprudence|3|3|3|||535|0|0.0|535|0|535|0.0|0.2685|0.0333|0.0|0.0251|0.0121|0.0372|535|0.3057| C|
26|moral_disputes|0|0|0|||404|0|0.0|404|0|404|0.0|0.2198|0.0126|0.0|0.036|0.0273|0.0633|404|0.2831| B|
27|elementary_mathematics|1|1|1|||395|0|0.0|395|0|395|0.0|0.2166|0.0109|0.0|0.013|0.0114|0.0244|395|0.241| B|
28|high_school_world_history|2|2|2|||1656|0|0.0|1656|0|1656|0.0|0.8814|0.0253|0.0|0.0227|0.0227|0.0454|1656|0.9268| C|
29|philosophy|3|3|0|3|0|288|1|0.0035|288|1|287|0.0035|0.1804|0.0147|0.0038|0.0379|0.0574|0.0953|288|0.2795| D|
30|elementary_mathematics|2|2|1|2|1|360|320|0.8889|360|320|40|0.8889|0.1098|0.0104|0.0042|0.024|0.0148|0.0388|360|0.1528| A|
31|international_law|0|0|0|||537|1|0.0019|537|1|536|0.0019|0.2689|0.0143|0.0|0.0382|0.0356|0.0738|537|0.3427| C|
32|professional_psychology|3|3|1|3|1|429|352|0.8205|429|352|77|0.8205|0.1193|0.0112|0.0035|0.0219|0.0177|0.0396|429|0.1624| B|
33|logical_fallacies|1|1|0|1|0|502|1|0.002|502|1|501|0.002|0.2554|0.014|0.0036|0.0221|0.0375|0.0596|502|0.3186| C|
34|high_school_european_history|2|2|2|||1637|8|0.0049|1637|8|1629|0.0049|0.8625|0.0229|0.0|0.0379|0.0291|0.067|1637|0.9295| C|
35|miscellaneous|0|0|2|0|2|291|261|0.8969|291|261|30|0.8969|0.1073|0.0122|0.004|0.0404|0.0295|0.0699|291|0.1812| D|
36|high_school_microeconomics|3|3|3|||456|0|0.0|456|0|456|0.0|0.2386|0.0114|0.0|0.0405|0.0134|0.0539|456|0.2925| C|
37|professional_law|1|1|0|1|0|1336|1177|0.881|1336|1177|159|0.881|0.1417|0.0163|0.0034|0.0219|0.0438|0.0657|1336|0.2108| D|
38|high_school_psychology|0|0|0|||331|0|0.0|331|0|331|0.0|0.1948|0.0112|0.0|0.0458|0.0351|0.0809|331|0.2757| C|
39|high_school_geography|1|1|1|||284|1|0.0035|284|1|283|0.0035|0.1791|0.0108|0.0|0.0198|0.0173|0.0371|284|0.2162| C|
40|moral_scenarios|2|2|2|||623|560|0.8989|623|560|63|0.8989|0.1157|0.0123|0.0|0.0246|0.0274|0.052|623|0.1677| A|
41|high_school_world_history|3|3|2|3|2|1827|1440|0.7882|1827|1440|387|0.7882|0.2138|0.0165|0.0038|0.0218|0.0322|0.054|1827|0.2716| D|
42|moral_scenarios|0|0|2|0|2|631|560|0.8875|631|560|71|0.8875|0.1177|0.0106|0.0044|0.0295|0.0209|0.0504|631|0.1725| A|
43|us_foreign_policy|2|2|2|||369|3|0.0081|369|3|366|0.0081|0.2066|0.0109|0.0|0.0262|0.0351|0.0613|369|0.2679| C|
44|high_school_us_history|3|3|2|3|2|1775|8|0.0045|1775|8|1767|0.0045|0.9612|0.0168|0.0041|0.0286|0.0466|0.0752|1775|1.0405| B|
45|professional_psychology|1|1|1|||468|352|0.7521|468|352|116|0.7521|0.1297|0.0135|0.0|0.0268|0.0255|0.0523|468|0.182| B|
46|professional_psychology|2|2|2|||411|352|0.8564|411|352|59|0.8564|0.1146|0.0145|0.0|0.0677|0.0562|0.1239|411|0.2385| B|
47|college_physics|0|0|0|||512|1|0.002|512|1|511|0.002|0.2592|0.0125|0.0|0.0407|0.0481|0.0888|512|0.348| B|
48|international_law|3|3|3|||515|1|0.0019|515|1|514|0.0019|0.2603|0.0105|0.0|0.016|0.0139|0.0299|515|0.2902| B|
49|astronomy|1|1|1|||386|2|0.0052|386|2|384|0.0052|0.2128|0.0146|0.0|0.0287|0.0261|0.0548|386|0.2676| B|
50|global_facts|2|2|2|||325|0|0.0|325|0|325|0.0|0.1928|0.0234|0.0|0.0619|0.0721|0.134|325|0.3268| C|
51|miscellaneous|0|0|2|0|2|307|264|0.8599|307|264|43|0.8599|0.1106|0.0108|0.004|0.0223|0.043|0.0653|307|0.1799| B|
52|moral_scenarios|1|1|2|1|2|611|561|0.9182|611|561|50|0.9182|0.1124|0.0127|0.0035|0.0328|0.0652|0.098|611|0.2139| C|
53|formal_logic|3|3|3|||709|0|0.0|709|0|709|0.0|0.3405|0.0194|0.0|0.0386|0.0419|0.0805|709|0.421| A|
54|high_school_macroeconomics|0|0|0|||461|0|0.0|461|0|461|0.0|0.2404|0.0123|0.0|0.043|0.0422|0.0852|461|0.3256| C|
55|logical_fallacies|2|2|0|2|0|577|416|0.721|577|416|161|0.721|0.1423|0.012|0.004|0.0533|0.0556|0.1089|577|0.2552| D|
56|moral_scenarios|3|3|2|3|2|619|561|0.9063|619|561|58|0.9063|0.1144|0.0188|0.0041|0.0283|0.0535|0.0818|619|0.2003| C|
57|high_school_psychology|0|0|0|||387|289|0.7468|387|289|98|0.7468|0.1249|0.0112|0.0|0.0466|0.0417|0.0883|387|0.2132| B|
58|elementary_mathematics|1|1|1|||359|322|0.8969|359|322|37|0.8969|0.1091|0.0099|0.0|0.0236|0.0141|0.0377|359|0.1468| B|
59|human_sexuality|1|1|1|||382|4|0.0105|382|4|378|0.0105|0.2107|0.0094|0.0|0.0162|0.0258|0.042|382|0.2527| B|
60|miscellaneous|2|2|2|||301|262|0.8704|301|262|39|0.8704|0.1096|0.0179|0.0|0.034|0.0538|0.0878|301|0.1974| C|
61|nutrition|2|2|2|||378|1|0.0026|378|1|377|0.0026|0.2104|0.0126|0.0|0.0521|0.0501|0.1022|378|0.3126| B|
62|philosophy|3|3|0|3|0|284|246|0.8662|284|246|38|0.8662|0.1093|0.0103|0.0037|0.0269|0.0284|0.0553|284|0.1683| A|
63|high_school_psychology|0|0|0|||359|289|0.805|359|289|70|0.805|0.1175|0.0132|0.0|0.0445|0.0425|0.087|359|0.2045| B|
64|world_religions|3|3|3|||254|0|0.0|254|0|254|0.0|0.17|0.0124|0.0|0.0274|0.0294|0.0568|254|0.2268| C|
65|miscellaneous|1|1|2|1|2|362|261|0.721|362|261|101|0.721|0.1257|0.0131|0.0039|0.0336|0.0325|0.0661|362|0.1957| C|
66|virology|0|0|0|||309|0|0.0|309|0|309|0.0|0.1875|0.0202|0.0|0.0576|0.0542|0.1118|309|0.2993| B|
67|professional_law|2|2|0|2|0|1408|1177|0.8359|1408|1177|231|0.8359|0.1629|0.019|0.0045|0.0698|0.0602|0.13|1408|0.2974| D|
68|high_school_chemistry|3|3|3|||419|379|0.9045|419|379|40|0.9045|0.1098|0.0109|0.0|0.0249|0.022|0.0469|419|0.1567| C|
69|moral_scenarios|0|0|2|0|2|617|561|0.9092|617|561|56|0.9092|0.1139|0.0236|0.0038|0.0553|0.0525|0.1078|617|0.2255| A|
70|professional_law|1|1|0|1|0|1336|1178|0.8817|1336|1178|158|0.8817|0.1414|0.0175|0.0044|0.0237|0.0585|0.0822|1336|0.228| C|
