request_id|subject|target_node|ingress_node|processed_by|routed_from|routed_to|prefix_match_input_tokens|expected_cache_hit_tokens|expected_cache_hit_ratio|sglang_prompt_tokens|sglang_cache_hit_tokens|sglang_uncached_prefill_tokens|sglang_cache_hit_ratio|inference_time_s|actual_sglang_inference_time_s|communication_time_s|routing_processing_time_s|local_processing_time_s|other_processing_time_s|local_snapshot_match_after_process|total_time_s|generated_text|error
0|professional_law|0|0|0|||1359|0|0.0|1359|0|1359|0.0|0.6847|0.0143|0.0|0.0167|0.0046|0.0213|1359|0.706| B|
1|professional_psychology|1|1|1|||460|0|0.0|460|0|460|0.0|0.24|0.0101|0.0|0.0037|0.0027|0.0064|460|0.2464| C|
2|miscellaneous|2|2|2|||292|0|0.0|292|0|292|0.0|0.182|0.0097|0.0|0.0032|0.0023|0.0055|292|0.1875| B|
3|human_aging|3|3|3|||351|1|0.0028|351|1|350|0.0028|0.2011|0.0131|0.0|0.0038|0.0035|0.0073|351|0.2084| D|
4|anatomy|0|0|0|||388|0|0.0|388|0|388|0.0|0.2142|0.0118|0.0|0.011|0.0103|0.0213|388|0.2355| B|
5|high_school_biology|1|1|1|||395|0|0.0|395|0|395|0.0|0.2166|0.0124|0.0|0.0055|0.0057|0.0112|395|0.2278| B|
6|professional_law|0|0|0|||1409|1179|0.8368|1409|1179|230|0.8368|0.1626|0.0163|0.0|0.0161|0.0148|0.0309|1409|0.1935| A|
7|high_school_chemistry|2|2|2|||449|0|0.0|449|0|449|0.0|0.236|0.013|0.0|0.0058|0.0056|0.0114|449|0.2474| A|
8|professional_accounting|3|3|3|||561|0|0.0|561|0|561|0.0|0.2787|0.0121|0.0|0.0047|0.005|0.0097|561|0.2884| C|
9|human_aging|1|1|1|||307|1|0.0033|307|1|306|0.0033|0.1865|0.0099|0.0|0.0073|0.0132|0.0205|307|0.207| C|
10|public_relations|0|0|0|||399|0|0.0|399|0|399|0.0|0.218|0.0097|0.0|0.0098|0.0087|0.0185|399|0.2365| C|
11|sociology|1|1|1|||403|0|0.0|403|0|403|0.0|0.2195|0.0116|0.0|0.0098|0.0092|0.019|403|0.2385| B|
12|miscellaneous|2|2|2|||294|261|0.8878|294|261|33|0.8878|0.1081|0.0114|0.0|0.0081|0.0072|0.0153|294|0.1234| A|
13|high_school_chemistry|3|3|3|||458|0|0.0|458|0|458|0.0|0.2393|0.0103|0.0|0.0065|0.0057|0.0122|458|0.2515| B|
14|moral_scenarios|2|2|2|||625|0|0.0|625|0|625|0.0|0.3047|0.013|0.0|0.0116|0.0106|0.0222|625|0.3269| C|
15|professional_law|0|0|0|||1341|1178|0.8784|1341|1178|163|0.8784|0.1428|0.0142|0.0|0.0191|0.0189|0.038|1341|0.1808| D|
16|prehistory|3|3|3|||429|0|0.0|429|0|429|0.0|0.2287|0.0102|0.0|0.0075|0.0058|0.0133|429|0.242| D|
17|professional_psychology|1|1|1|||393|352|0.8957|393|352|41|0.8957|0.1101|0.0108|0.0|0.0113|0.0111|0.0224|393|0.1325| D|
18|college_chemistry|0|0|0|||430|1|0.0023|430|1|429|0.0023|0.2287|0.0102|0.0|0.0443|0.014|0.0583|430|0.287| B|
19|professional_psychology|2|2|2|||406|0|0.0|406|0|406|0.0|0.2205|0.0097|0.0|0.0143|0.0065|0.0208|406|0.2413| A|
20|high_school_chemistry|3|3|3|||436|379|0.8693|436|379|57|0.8693|0.1141|0.0103|0.0|0.0099|0.0073|0.0172|436|0.1313| C|
21|electrical_engineering|1|1|1|||385|1|0.0026|385|1|384|0.0026|0.2128|0.0122|0.0|0.0155|0.0108|0.0263|385|0.2391| C|
22|high_school_biology|0|0|0|||478|0|0.0|478|0|478|0.0|0.2467|0.0113|0.0|0.0236|0.0151|0.0387|478|0.2854| B|
23|management|2|2|2|||278|0|0.0|278|0|278|0.0|0.1775|0.0103|0.0|0.0135|0.0103|0.0238|278|0.2013| D|
24|professional_psychology|1|1|1|||428|352|0.8224|428|352|76|0.8224|0.119|0.0103|0.0|0.0135|0.0119|0.0254|428|0.1444| D|
25|jurisprudence|3|3|3|||535|0|0.0|535|0|535|0.0|0.2685|0.0135|0.0|0.0169|0.0094|0.0263|535|0.2948| C|
26|moral_disputes|0|0|0|||404|0|0.0|404|0|404|0.0|0.2198|0.0108|0.0|0.0256|0.0168|0.0424|404|0.2622| B|
27|elementary_mathematics|1|1|1|||395|0|0.0|395|0|395|0.0|0.2166|0.0106|0.0|0.0175|0.015|0.0325|395|0.2491| B|
28|high_school_world_history|2|2|2|||1656|0|0.0|1656|0|1656|0.0|0.8814|0.0191|0.0|0.0263|0.0183|0.0446|1656|0.926| C|
29|philosophy|3|3|3|||288|0|0.0|288|0|288|0.0|0.1807|0.0127|0.0|0.0186|0.0122|0.0308|288|0.2115| D|
30|elementary_mathematics|2|2|2|||360|3|0.0083|360|3|357|0.0083|0.2035|0.0106|0.0|0.014|0.02|0.034|360|0.2375| B|
31|international_law|0|0|0|||537|1|0.0019|537|1|536|0.0019|0.2689|0.0135|0.0|0.0427|0.0237|0.0664|537|0.3353| C|
32|professional_psychology|3|3|3|||429|1|0.0023|429|1|428|0.0023|0.2284|0.0119|0.0|0.0187|0.0181|0.0368|429|0.2652| B|
33|logical_fallacies|1|1|1|||502|0|0.0|502|0|502|0.0|0.2558|0.0125|0.0|0.019|0.0191|0.0381|502|0.2939| C|
34|high_school_european_history|2|2|2|||1637|8|0.0049|1637|8|1629|0.0049|0.8625|0.0193|0.0|0.0323|0.0291|0.0614|1637|0.9239| C|
35|miscellaneous|0|0|0|||291|0|0.0|291|0|291|0.0|0.1817|0.0118|0.0|0.0331|0.0297|0.0628|291|0.2445| D|
36|high_school_microeconomics|3|3|3|||456|0|0.0|456|0|456|0.0|0.2386|0.011|0.0|0.0183|0.0184|0.0367|456|0.2753| C|
37|professional_law|1|1|1|||1336|0|0.0|1336|0|1336|0.0|0.6705|0.0147|0.0|0.02|0.0217|0.0417|1336|0.7122| D|
38|high_school_psychology|0|0|0|||331|0|0.0|331|0|331|0.0|0.1948|0.0122|0.0|0.0375|0.037|0.0745|331|0.2693| C|
39|high_school_geography|1|1|1|||284|1|0.0035|284|1|283|0.0035|0.1791|0.0099|0.0|0.0236|0.0183|0.0419|284|0.221| C|
40|moral_scenarios|2|2|2|||623|560|0.8989|623|560|63|0.8989|0.1157|0.0113|0.0|0.015|0.0391|0.0541|623|0.1698| A|
41|high_school_world_history|3|3|3|||1827|0|0.0|1827|0|1827|0.0|1.0058|0.0243|0.0|0.032|0.0293|0.0613|1827|1.0671| D|
42|moral_scenarios|0|0|0|||631|0|0.0|631|0|631|0.0|0.3072|0.0143|0.0|0.0478|0.0343|0.0821|631|0.3893| A|
43|us_foreign_policy|2|2|2|||369|3|0.0081|369|3|366|0.0081|0.2066|0.013|0.0|0.038|0.0333|0.0713|369|0.2779| C|
44|high_school_us_history|3|3|3|||1775|8|0.0045|1775|8|1767|0.0045|0.9612|0.0203|0.0|0.0352|0.0364|0.0716|1775|1.0328| B|
45|professional_psychology|1|1|1|||468|352|0.7521|468|352|116|0.7521|0.1297|0.0102|0.0|0.015|0.0206|0.0356|468|0.1653| B|
46|professional_psychology|2|2|2|||411|352|0.8564|411|352|59|0.8564|0.1146|0.0128|0.0|0.0317|0.0336|0.0653|411|0.1799| B|
47|college_physics|0|0|0|||512|1|0.002|512|1|511|0.002|0.2592|0.0115|0.0|0.0328|0.0311|0.0639|512|0.3231| B|
48|international_law|3|3|3|||515|1|0.0019|515|1|514|0.0019|0.2603|0.0129|0.0|0.0236|0.0262|0.0498|515|0.3101| B|
49|astronomy|1|1|1|||386|2|0.0052|386|2|384|0.0052|0.2128|0.0105|0.0|0.0184|0.0233|0.0417|386|0.2545| B|
50|global_facts|2|2|2|||325|0|0.0|325|0|325|0.0|0.1928|0.02|0.0|0.0511|0.0411|0.0922|325|0.285| C|
51|miscellaneous|0|0|0|||307|264|0.8599|307|264|43|0.8599|0.1106|0.0122|0.0|0.0384|0.0401|0.0785|307|0.1891| B|
52|moral_scenarios|1|1|1|||611|0|0.0|611|0|611|0.0|0.2989|0.0102|0.0|0.0265|0.0261|0.0526|611|0.3515| C|
53|formal_logic|3|3|3|||709|0|0.0|709|0|709|0.0|0.3405|0.0156|0.0|0.0337|0.0397|0.0734|709|0.4139| A|
54|high_school_macroeconomics|0|0|0|||461|0|0.0|461|0|461|0.0|0.2404|0.0104|0.0|0.0225|0.0198|0.0423|461|0.2827| C|
55|logical_fallacies|2|2|2|||577|0|0.0|577|0|577|0.0|0.2851|0.0103|0.0|0.0191|0.0198|0.0389|577|0.324| D|
56|moral_scenarios|3|3|3|||619|0|0.0|619|0|619|0.0|0.3022|0.0135|0.0|0.0255|0.0197|0.0452|619|0.3474| C|
57|high_school_psychology|0|0|0|||387|289|0.7468|387|289|98|0.7468|0.1249|0.0103|0.0|0.0258|0.0249|0.0507|387|0.1756| B|
58|elementary_mathematics|1|1|1|||359|320|0.8914|359|320|39|0.8914|0.1096|0.0161|0.0|0.0317|0.0304|0.0621|359|0.1717| B|
59|human_sexuality|1|1|1|||382|4|0.0105|382|4|378|0.0105|0.2107|0.0099|0.0|0.0307|0.0286|0.0593|382|0.27| B|
60|miscellaneous|2|2|2|||301|261|0.8671|301|261|40|0.8671|0.1098|0.0106|0.0|0.03|0.0287|0.0587|301|0.1685| C|
61|nutrition|2|2|2|||378|1|0.0026|378|1|377|0.0026|0.2104|0.0101|0.0|0.0329|0.0332|0.0661|378|0.2765| B|
62|philosophy|3|3|3|||284|246|0.8662|284|246|38|0.8662|0.1093|0.0103|0.0|0.0297|0.0301|0.0598|284|0.1691| A|
63|high_school_psychology|0|0|0|||359|289|0.805|359|289|70|0.805|0.1175|0.0124|0.0|0.0512|0.0414|0.0926|359|0.2101| B|
64|world_religions|3|3|3|||254|0|0.0|254|0|254|0.0|0.17|0.0242|0.0|0.0447|0.0293|0.074|254|0.244| C|
65|miscellaneous|1|1|1|||362|0|0.0|362|0|362|0.0|0.2052|0.0099|0.0|0.021|0.019|0.04|362|0.2452| C|
66|virology|0|0|0|||309|0|0.0|309|0|309|0.0|0.1875|0.0118|0.0|0.0267|0.0262|0.0529|309|0.2404| B|
67|professional_law|2|2|2|||1408|0|0.0|1408|0|1408|0.0|0.7155|0.0142|0.0|0.0281|0.0247|0.0528|1408|0.7683| D|
68|high_school_chemistry|3|3|3|||419|379|0.9045|419|379|40|0.9045|0.1098|0.0126|0.0|0.0269|0.0415|0.0684|419|0.1782| C|
69|moral_scenarios|0|0|0|||617|561|0.9092|617|561|56|0.9092|0.1139|0.0123|0.0|0.043|0.0402|0.0832|617|0.1971| A|
70|professional_law|1|1|1|||1336|1178|0.8817|1336|1178|158|0.8817|0.1414|0.011|0.0|0.0249|0.0336|0.0585|1336|0.1999| C|
71|high_school_psychology|2|2|2|||348|0|0.0|348|0|348|0.0|0.2005|0.0104|0.0|0.0403|0.0266|0.0669|348|0.2674| B|
72|high_school_geography|3|3|3|||293|1|0.0034|293|1|292|0.0034|0.182|0.0117|0.0|0.038|0.0326|0.0706|293|0.2526| D|
73|world_religions|0|0|0|||250|0|0.0|250|0|250|0.0|0.1688|0.0117|0.0|0.0471|0.0264|0.0735|250|0.2423| B|
74|miscellaneous|1|1|1|||293|261|0.8908|293|261|32|0.8908|0.1078|0.0107|0.0|0.0277|0.0369|0.0646|293|0.1724| C|
75|prehistory|2|2|2|||419|0|0.0|419|0|419|0.0|0.2251|0.0126|0.0|0.0501|0.0341|0.0842|419|0.3093| B|
76|us_foreign_policy|3|3|3|||345|0|0.0|345|0|345|0.0|0.1995|0.0104|0.0|0.0446|0.0266|0.0712|345|0.2707| D|
77|world_religions|0|0|0|||261|206|0.7893|261|206|55|0.7893|0.1136|0.0097|0.0|0.0445|0.0413|0.0858|261|0.1994| D|
78|high_school_psychology|1|1|1|||366|0|0.0|366|0|366|0.0|0.2066|0.0099|0.0|0.0343|0.0235|0.0578|366|0.2644| C|
79|high_school_macroeconomics|2|2|2|||414|0|0.0|414|0|414|0.0|0.2234|0.0104|0.0|0.033|0.0286|0.0616|414|0.285| B|
80|high_school_microeconomics|3|3|3|||521|386|0.7409|521|386|135|0.7409|0.135|0.0121|0.0|0.0438|0.0302|0.074|521|0.209| D|
81|miscellaneous|0|0|0|||335|261|0.7791|335|261|74|0.7791|0.1185|0.0096|0.0|0.0313|0.0451|0.0764|335|0.1949| D|
82|econometrics|1|1|1|||674|1|0.0015|674|1|673|0.0015|0.3249|0.0121|0.0|0.0477|0.0306|0.0783|674|0.4032| D|
83|professional_law|1|1|1|||1607|1177|0.7324|1607|1177|430|0.7324|0.2291|0.0144|0.0|0.0536|0.0571|0.1107|1607|0.3398| D|
84|professional_law|2|2|2|||1387|1177|0.8486|1387|1177|210|0.8486|0.1566|0.0551|0.0|0.0454|0.0272|0.0726|1387|0.2292| B|
85|astronomy|3|3|3|||382|2|0.0052|382|2|380|0.0052|0.2114|0.0119|0.0|0.0432|0.0471|0.0903|382|0.3017| D|
86|global_facts|0|0|0|||339|0|0.0|339|0|339|0.0|0.1974|0.0144|0.0|0.0337|0.0434|0.0771|339|0.2745| B|
87|computer_security|2|2|2|||518|4|0.0077|518|4|514|0.0077|0.2603|0.0131|0.0|0.0487|0.0636|0.1123|518|0.3726| A|
88|professional_law|1|1|1|||1405|1178|0.8384|1405|1178|227|0.8384|0.1617|0.0133|0.0|0.0478|0.0526|0.1004|1405|0.2621| B|
89|high_school_biology|2|2|2|||401|0|0.0|401|0|401|0.0|0.2188|0.0104|0.0|0.0518|0.0391|0.0909|401|0.3097| A|
90|high_school_statistics|3|3|3|||697|1|0.0014|697|1|696|0.0014|0.3349|0.0148|0.0|0.0469|0.0466|0.0935|697|0.4284| C|
91|professional_law|3|3|3|||1448|0|0.0|1448|0|1448|0.0|0.7411|0.0153|0.0|0.0489|0.0545|0.1034|1448|0.8445| C|
92|high_school_psychology|0|0|0|||323|289|0.8947|323|289|34|0.8947|0.1083|0.0133|0.0|0.0661|0.05|0.1161|323|0.2244| A|
93|machine_learning|0|0|0|||392|0|0.0|392|0|392|0.0|0.2156|0.0117|0.0|0.0541|0.0528|0.1069|392|0.3225| B|
94|college_mathematics|1|1|1|||479|0|0.0|479|0|479|0.0|0.2471|0.0115|0.0|0.0538|0.0473|0.1011|479|0.3482| C|
95|professional_law|1|1|1|||1407|1177|0.8365|1407|1177|230|0.8365|0.1626|0.0146|0.0|0.0498|0.0545|0.1043|1407|0.2669| A|
96|formal_logic|2|2|2|||759|0|0.0|759|0|759|0.0|0.3628|0.0129|0.0|0.0424|0.0371|0.0795|759|0.4423| C|
97|sociology|3|3|3|||424|0|0.0|424|0|424|0.0|0.2269|0.0122|0.0|0.0366|0.0363|0.0729|424|0.2998| C|
98|professional_medicine|2|2|2|||1287|1|0.0008|1287|1|1286|0.0008|0.6402|0.015|0.0|0.0531|0.0548|0.1079|1287|0.7481| C|
99|human_sexuality|0|0|0|||380|1|0.0026|380|1|379|0.0026|0.2111|0.0113|0.0|0.043|0.043|0.086|380|0.2971| D|
100|miscellaneous|1|1|1|||291|261|0.8969|291|261|30|0.8969|0.1073|0.0099|0.0|0.0524|0.0491|0.1015|291|0.2088| C|
101|world_religions|2|2|2|||243|0|0.0|243|0|243|0.0|0.1666|0.011|0.0|0.0565|0.0618|0.1183|243|0.2849| A|
102|security_studies|3|3|3|||1083|2|0.0018|1083|2|1081|0.0018|0.523|0.013|0.0|0.0394|0.0322|0.0716|1083|0.5946| A|
103|high_school_psychology|3|3|3|||328|0|0.0|328|0|328|0.0|0.1938|0.0102|0.0|0.0466|0.0401|0.0867|328|0.2805| C|
104|high_school_biology|0|0|0|||367|329|0.8965|367|329|38|0.8965|0.1093|0.0116|0.0|0.0621|0.0647|0.1268|367|0.2361| D|
105|professional_accounting|1|1|1|||598|0|0.0|598|0|598|0.0|0.2936|0.013|0.0|0.078|0.0674|0.1454|598|0.439| D|
106|high_school_physics|0|0|0|||615|1|0.0016|615|1|614|0.0016|0.3001|0.0124|0.0|0.0442|0.03|0.0742|615|0.3743| C|
107|high_school_macroeconomics|2|2|2|||418|368|0.8804|418|368|50|0.8804|0.1124|0.0351|0.0|0.0714|0.0581|0.1295|418|0.2419| C|
108|miscellaneous|3|3|3|||330|0|0.0|330|0|330|0.0|0.1944|0.0147|0.0|0.056|0.0436|0.0996|330|0.294| B|
109|computer_security|0|0|0|||501|4|0.008|501|4|497|0.008|0.2539|0.0144|0.0|0.0619|0.0521|0.114|501|0.3679| D|
110|high_school_microeconomics|1|1|1|||468|0|0.0|468|0|468|0.0|0.243|0.0103|0.0|0.076|0.0402|0.1162|468|0.3592| B|
111|high_school_mathematics|1|1|1|||578|0|0.0|578|0|578|0.0|0.2855|0.01|0.0|0.0549|0.0616|0.1165|578|0.402| B|
112|high_school_chemistry|2|2|2|||412|379|0.9199|412|379|33|0.9199|0.1081|0.0105|0.0|0.0432|0.0423|0.0855|412|0.1936| D|
113|conceptual_physics|2|2|2|||281|2|0.0071|281|2|279|0.0071|0.1779|0.0097|0.0|0.0427|0.0602|0.1029|281|0.2808| B|
114|human_aging|3|3|3|||293|261|0.8908|293|261|32|0.8908|0.1078|0.0128|0.0|0.0534|0.0593|0.1127|293|0.2205| A|
115|clinical_knowledge|3|3|3|||290|1|0.0034|290|1|289|0.0034|0.1811|0.0109|0.0|0.0429|0.045|0.0879|290|0.269| B|
116|moral_disputes|0|0|0|||365|318|0.8712|365|318|47|0.8712|0.1116|0.0247|0.0|0.0816|0.0519|0.1335|365|0.2451| C|
117|moral_disputes|1|1|1|||393|0|0.0|393|0|393|0.0|0.2159|0.0098|0.0|0.059|0.0406|0.0996|393|0.3155| A|
118|prehistory|2|2|2|||383|343|0.8956|383|343|40|0.8956|0.1098|0.0114|0.0|0.0626|0.0631|0.1257|383|0.2355| C|
119|professional_psychology|3|3|3|||388|352|0.9072|388|352|36|0.9072|0.1088|0.012|0.0|0.0564|0.0433|0.0997|388|0.2085| A|
120|moral_scenarios|0|0|0|||615|561|0.9122|615|561|54|0.9122|0.1134|0.0375|0.0|0.0649|0.0374|0.1023|615|0.2157| A|
121|anatomy|1|1|1|||410|1|0.0024|410|1|409|0.0024|0.2216|0.0113|0.0|0.063|0.0554|0.1184|410|0.34| A|
122|conceptual_physics|2|2|2|||308|243|0.789|308|243|65|0.789|0.1162|0.0113|0.0|0.0661|0.0681|0.1342|308|0.2504| A|
123|moral_scenarios|3|3|3|||630|561|0.8905|630|561|69|0.8905|0.1172|0.0109|0.0|0.0455|0.0426|0.0881|630|0.2053| C|
124|professional_law|0|0|0|||1440|1178|0.8181|1440|1178|262|0.8181|0.1725|0.0145|0.0|0.0755|0.0362|0.1117|1440|0.2842| B|
125|us_foreign_policy|1|1|1|||341|3|0.0088|341|3|338|0.0088|0.1971|0.0135|0.0|0.0594|0.037|0.0964|341|0.2935| C|
126|high_school_macroeconomics|2|2|2|||476|368|0.7731|476|368|108|0.7731|0.1276|0.013|0.0|0.0795|0.0716|0.1511|476|0.2787| C|
127|prehistory|3|3|3|||398|343|0.8618|398|343|55|0.8618|0.1136|0.0101|0.0|0.0442|0.0431|0.0873|398|0.2009| B|
